,posted,neighborhood,post title,number bedrooms,sqft,URL,price
75,10/12/19 9:28,Upper Manhattan,NO SEC DEPOSIT! Apartment for Rent in Upper Manhattan 212-222-9754,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-sec-deposit-apartment-for/6997934818.html,1850
76,10/12/19 9:24,Upper West Side,NO FEE RENOVATED 1 BR ON AMSTERDAM AVE SUPER ON SITE,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-renovated-1-br-on/6997932943.html,2695
77,10/12/19 9:23,Upper Manhattan,3 BR / 1.5 BTH Apartment in Building w/Garage NO SECURITY DEPOSIT,3,,https://newyork.craigslist.org/mnh/apa/d/new-york-3-br-15-bth-apartment-in/6997932445.html,3295
78,10/12/19 9:14,Upper East Side,KING SIZE 1BR in Elevator & Laundry Building *89th & 1st *,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-king-size-1br-in-elevator/6997927371.html,2450
79,10/12/19 9:14,Upper West Side,SHOWING TOMORROW!! NO FEE!!! 2 BEDROOM IN UWS!!!  109TH & AMSTERDAM!!!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-showing-tomorrow-no-fee-2/6997927192.html,2500
80,10/12/19 9:03,West Village,"NO FEE BIG STUDIO HI CEILINGS.GUT RENO, EX PRICE",,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-big-studio-hi/6997921849.html,2195
81,10/12/19 8:40,Midtown West,3BR * LUX 24HR DOORMAN * FREE GYM * ROOF DECK * VERY CLOSE TO SUBWAY,3,,https://newyork.craigslist.org/mnh/apa/d/new-york-3br-lux-24hr-doorman-free-gym/6997911870.html,4300
82,10/12/19 8:40,Upper West Side,"*LARGE, L-SHAPED STUDIO, D/W, DOORMAN, LNDRY, PETS!* WEA/W low 90's!",,,https://newyork.craigslist.org/mnh/apa/d/new-york-large-shaped-studio-w-doorman/6997911651.html,2000
83,10/12/19 8:40,New York,"STUNNING 1 BEDROOM LOFT. ALL UTILITIES, FIOS TV / INTERNET INCLUDED",1,,https://newyork.craigslist.org/mnh/apa/d/staten-island-stunning-1-bedroom-loft/6997911571.html,1850
84,10/12/19 8:27,Harlem,"Harlem Landmark Brownstone, 700 sqf - 1 bedroom apt",1,700,https://newyork.craigslist.org/mnh/apa/d/new-york-harlem-landmark-brownstone-700/6997906562.html,2200
85,10/12/19 8:17,Upper East Side,**STUNNING STUDIO**24HR DM**,,,https://newyork.craigslist.org/mnh/apa/d/new-york-stunning-studio24hr-dm/6997903005.html,2250
86,10/12/19 8:16,Midtown West,1 MONTH FREE**BE THE FIRST TO LIVE HERE**STUNNING NEW LUX BUILDING**,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-1-month-freebe-the-first-to/6997902901.html,3395
87,10/12/19 8:05,East Village,***BRIGHT CHARMING EAST VILL 1 BED DIGS***AMAZING FIND!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-bright-charming-east-vill-1/6997899040.html,2395
88,10/12/19 7:53,Chinatown,***SUN KISSED SPACIOUS CHINATOWN STUDIO DIGS***BOTTOM-LINE STEAL!!!,,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-kissed-spacious-chinatown/6997895213.html,1795
